职位,公司名,地点,薪酬,发布时间
19届校招-经纪金融产品部-产品管理岗,联储证券有限责任公司,北京-朝阳区,6-8千/月,10-24
19届校招-经纪信用业务部-信用业务岗,联储证券有限责任公司,北京-朝阳区,6-8千/月,10-24
19届校招-质量控制总部-质控审核岗,联储证券有限责任公司,上海-浦东新区,6-8千/月,10-24
19届校招-资金计划部-渠道拓展岗,联储证券有限责任公司,上海-浦东新区,6-8千/月,10-24
19届校招-机构业务总部-战略客户研究岗,联储证券有限责任公司,北京-朝阳区,6-8千/月,10-24
19届校招-机构业务总部-战略客户研究岗,联储证券有限责任公司,上海-浦东新区,6-8千/月,10-24
19届校招-投行条线-项目经理,联储证券有限责任公司,深圳-福田区,6-8千/月,10-24
19届校招-投行条线-项目经理,联储证券有限责任公司,上海-浦东新区,6-8千/月,10-24
宏观研究员,湘财证券股份有限公司,上海-浦东新区,1-2万/月,10-24
金融工程研究员,湘财证券股份有限公司,上海-浦东新区,1-2万/月,10-24
研究所-资源与环境研究中心-中心长,国金证券股份有限公司,上海,5-7万/月,10-24
研究所-资源与环境研究中心-中心长,国金证券股份有限公司,异地招聘,5-7万/月,10-24
研究所-资源与环境研究中心-中心长,国金证券股份有限公司,异地招聘,5-7万/月,10-24
资管-信用分析师/主管,国金证券股份有限公司,上海,1-2万/月,10-24
资管-信用融资部-机构销售,国金证券股份有限公司,异地招聘,1-1.5万/月,10-24
资管 - 债券交易员,国金证券股份有限公司,上海,0.8-1.5万/月,10-24
资管-信用融资部-机构销售,国金证券股份有限公司,北京,1-1.5万/月,10-24
资管-机构销售,国金证券股份有限公司,上海-浦东新区,1-2万/月,10-24
机构客户服务专员,宏源期货有限公司,北京-海淀区,10-15万/年,10-24
期权业务总监,宏源期货有限公司,上海-浦东新区,20-30万/年,10-24
期权策略交易总监,宏源期货有限公司,上海-浦东新区,20-30万/年,10-24
项目经理,宏源期货有限公司,北京-海淀区,10-15万/年,10-24
产品经理,宏源期货有限公司,北京-海淀区,10-15万/年,10-24
黑色研究员,宏源期货有限公司,杭州-拱墅区,10-15万/年,10-24
有色研究员,宏源期货有限公司,杭州-拱墅区,10-15万/年,10-24
英语专职高级编辑,北京世纪高教图书有限公司,北京,1.5-2万/月,10-24
营销团队考核管理岗,华福证券有限责任公司,上海-浦东新区,1.5-2千/月,10-23
私募类产品引进岗,华福证券有限责任公司,上海,1.5-2千/月,10-23
托管外包岗,招商证券股份有限公司杭州天目山路证券营业部,杭州-西湖区,1-1.5万/月,10-23
终端运营管理,上海天籍信息科技有限公司,上海,0.7-1.5万/月,10-23
分销商运营管理,上海天籍信息科技有限公司,上海,0.7-1.5万/月,10-23
iDST-UX设计专家（人工智能AI方向）-杭州,阿里巴巴集团,杭州,,10-23
蚂蚁金服-数据产品经理-反洗钱智能,阿里巴巴集团,杭州,,10-23
人工智能实验室-自然语音理解算法专家,阿里巴巴集团,杭州,,10-23
人工智能实验室-算法专家-知识图谱,阿里巴巴集团,杭州,,10-23
人工智能实验室-计算机视觉算法工程师/专家-AR方向,阿里巴巴集团,杭州,,10-23
产品商城-运维管理岗,华福证券有限责任公司,上海,1.5-2千/月,10-23
量化分析员,上海系数股权投资基金管理合伙企业（有限合伙）,上海-浦东新区,1-1.5万/月,10-23
行业研究员,上海从容投资管理有限公司,上海-浦东新区,20-70万/年,10-23
投资银行业务,中天国富证券有限公司,深圳-南山区,1.5-2万/月,10-22
信托实习生,中原信托有限公司,北京,,10-22
Journal Development Editor,麦克米伦信息咨询服务（上海）有限公司,北京-海淀区,1.2-1.8万/月,10-22
Journal Development Editor 1,麦克米伦信息咨询服务（上海）有限公司,北京-海淀区,1.2-1.8万/月,10-22
"Journal Development Editor, Clinical Medicine",麦克米伦信息咨询服务（上海）有限公司,北京-海淀区,1.2-1.8万/月,10-22
UI设计师,北京雅乐美森科技有限公司,北京-海淀区,1-2万/月,10-22
金融分析师,北京雅乐美森科技有限公司,北京-海淀区,1-2万/月,10-22
金融行业分析师,北京雅乐美森科技有限公司,北京-海淀区,0.8-1万/月,10-22
传媒编辑,北京雅乐美森科技有限公司,北京-海淀区,0.8-1万/月,10-22
产品经理,北京雅乐美森科技有限公司,北京-海淀区,2-2.5万/月,10-22
UE/UX交互设计师,北京雅乐美森科技有限公司,北京-海淀区,1.5-2万/月,10-22
投资经理,深圳市前海诚帮金融服务有限公司,异地招聘,30-40万/年,10-22
投资经理,深圳市前海诚帮金融服务有限公司,异地招聘,30-40万/年,10-22
投资总监,深圳市前海诚帮金融服务有限公司,异地招聘,50-60万/年,10-22
投资总监,深圳市前海诚帮金融服务有限公司,异地招聘,50-60万/年,10-22
基金管理部投资经理,上海科技创业投资（集团）有限公司,上海-徐汇区,1.5-3万/月,10-22
科技金融部副总经理,上海科技创业投资（集团）有限公司,上海-徐汇区,2-3万/月,10-22
项目直投部投资经理,上海科技创业投资（集团）有限公司,上海-徐汇区,1.5-2.5万/月,10-22
投资经理助理,上海科技创业投资（集团）有限公司,上海-徐汇区,4.5-6千/月,10-22
风险计量岗,中国光大银行信用卡中心,北京,,10-22
信托实习生,中原信托有限公司,上海,,10-22
债券研究岗,中国金融期货交易所股份有限公司,上海-浦东新区,20-30万/年,10-21
市场研究岗,中国金融期货交易所股份有限公司,上海-浦东新区,15-20万/年,10-21
内审稽核岗,中国金融期货交易所股份有限公司,上海-浦东新区,20-30万/年,10-20
外汇研究岗,中国金融期货交易所股份有限公司,上海-浦东新区,20-30万/年,10-20
新媒体编辑（龙门书局）,中国科技出版传媒股份有限公司,北京,7.5-8.5千/月,10-20
历史学科编辑/文科（龙门书局）,中国科技出版传媒股份有限公司,北京,7.5-8.5千/月,10-20
策划编辑/文科（龙门书局）,中国科技出版传媒股份有限公司,北京,7.5-8.5千/月,10-20
策划编辑/理科（龙门书局）,中国科技出版传媒股份有限公司,北京,7.5-8.5千/月,10-20
经济金融类,中国金融期货交易所股份有限公司,上海-浦东新区,15-20万/年,10-19
营销策划岗,兴银基金管理有限责任公司,上海,1-1.5万/月,10-19
绩效归因岗,兴银基金管理有限责任公司,上海,1-2万/月,10-19
研究员,兴银基金管理有限责任公司,上海,1-1.5万/月,10-19
投资经理（衍生品）,兴银基金管理有限责任公司,上海,1-1.5万/月,10-19
固定收益部副总经理,兴银基金管理有限责任公司,上海,1.5-2万/月,10-19
权益基金经理,兴银基金管理有限责任公司,上海,1.5-2万/月,10-19
基金事务部副总经理,兴银基金管理有限责任公司,上海,1.5-2万/月,10-19
权益总监/权益投资部负责人,兴银基金管理有限责任公司,上海,5-6万/月,10-19
稽核审计岗,兴银基金管理有限责任公司,上海,1-2万/月,10-19
债券交易主管,兴银基金管理有限责任公司,上海-浦东新区,1-2万/月,10-19
渠道管理岗（工作地：上海）,兴银基金管理有限责任公司,上海-浦东新区,1-1.5万/月,10-19
固定收益事业部交易员,恒创控股集团有限公司,深圳-福田区,3-5万/月,10-18
大数据分析岗,招商证券股份有限公司,深圳-福田区,1.5千以下/月,11-15
移动端图像算法技术专家 - 计算机视觉,字节跳动,上海,5-10万/月,11-15
产品运营经理,深圳嘉石大岩资本管理有限公司,深圳-福田区,1.5-2千/月,11-15
宏观经济研究,THE BLOCKCHAINER TECHNOLOGY PTE.LTD./区块链人科技（新加坡）有限公司,上海-静安区,1.5-2千/月,11-15
分单引擎仿真平台工程师/架构师(J180809021),滴滴出行,北京-海淀区,3-4.5千/月,11-15
分单引擎工程师/架构师(J180809022),滴滴出行,北京-海淀区,3-4.5千/月,11-15
核心数据服务工程师/架构师（Go）(J180809024),滴滴出行,北京-海淀区,3-4.5千/月,11-15
搜索算法工程师（专家）(J181009018),滴滴出行,北京-海淀区,5-7万/月,11-15
资产管理部总经理,上海好伯人力资源咨询有限公司,上海,80-120万/年,11-15
量化投资经理,上海好伯人力资源咨询有限公司,上海,60-90万/年,11-15
研究助理实习生（深圳）,上海申银万国证券研究所有限公司,深圳-福田区,1.5千以下/月,11-15
研究助理实习生（北京地）,上海申银万国证券研究所有限公司,北京-西城区,1.5千以下/月,11-15
研究助理实习生（上海）,上海申银万国证券研究所有限公司,上海,1.5千以下/月,11-15
行业研究员实习生,友山基金管理有限公司,上海-浦东新区,2-3千/月,11-15
投行项目助理实习生,渤海证券股份有限公司,深圳-南山区,1.5千以下/月,11-15
1111B2-商业分析/业务分析师,平安科技（深圳）有限公司,上海-浦东新区,1.5千以下/月,11-15
1111B1-商业分析/业务分析师,平安科技（深圳）有限公司,深圳-南山区,1.5千以下/月,11-15
华南分公司运营总监,中信期货有限公司,深圳,0.4-1.2万/月,11-14
项目总监（资产证券化）,同策房产咨询股份有限公司,上海-静安区,80-100万/年,11-13
权益类基金经理,益民基金管理有限公司北京分公司,北京-西城区,80-100万/年,11-12
固收类基金经理,益民基金管理有限公司北京分公司,北京-西城区,80-100万/年,11-12
行业研究员（通讯）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（通讯）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（通讯）,广发基金管理有限公司,广州,1.5-4万/年,11-12
行业研究员（TMT）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（TMT）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（TMT）,广发基金管理有限公司,广州,1.5-4万/年,11-12
行业研究员（计算机）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（计算机）,广发基金管理有限公司,异地招聘,1.5-4万/年,11-12
行业研究员（计算机）,广发基金管理有限公司,广州,1.5-4万/年,11-12
行业研究员（实习）,华金证券股份有限公司,异地招聘,1.5-2千/月,11-07
行业研究员（实习）,华金证券股份有限公司,上海-浦东新区,1.5-2千/月,11-07
行业研究员（实习）,华金证券股份有限公司,异地招聘,1.5-2千/月,11-07
量化投资经理,天演资本,上海-浦东新区,100万以上/年,11-05
期权业务主管,华福证券有限责任公司,上海-浦东新区,1.5-2千/月,11-02
操盘手,深圳市前海诚帮金融服务有限公司,深圳-南山区,60-80万/年,11-02
投资经理,北京复奇管理咨询有限公司,北京-海淀区,2-3千/月,10-29
高级投资经理,北京复奇管理咨询有限公司,北京-海淀区,2-3千/月,10-29
投资经理,北京复奇管理咨询有限公司,北京-海淀区,2-3千/月,10-29
私募类产品销售管理岗,华福证券有限责任公司,上海,1.5-2千/月,10-23
产品商城-产品管理岗,华福证券有限责任公司,上海,1.5-2千/月,10-23
高级运营总监（海外渠道管理）,上海天籍信息科技有限公司,上海,15-30万/月,10-23
风控经理,深圳市前海诚帮金融服务有限公司,深圳-南山区,2-3千/月,10-23
金融投资实习生(10012685),宜信卓越财富投资管理（北京）有限公司,杭州-西湖区,2-3千/月,10-23
东证创投-股权投资研究助理（实习岗位）,东方证券股份有限公司,上海-黄浦区,1.5千以下/月,10-22
固定收益事业部总经理,恒创控股集团有限公司,深圳-福田区,10-30万/月,10-18
医药行业研究员,国元国际控股有限公司,深圳,1-3万/月,11-15
医药行业研究员,国元国际控股有限公司,深圳,1-3万/月,11-15
高级研究员,国元国际控股有限公司,深圳,1-3万/月,11-15
高级研究员,国元国际控股有限公司,异地招聘,1-3万/月,11-15
产业投资运营处高级经理,融捷投资控股集团有限公司,广州-天河区,1.7-2万/月,11-15
股权投资事业部募投经理,融捷投资控股集团有限公司,广州-天河区,1-1.5万/月,11-15
策略风险管理岗,平安证券股份有限公司,上海,1.5-3万/月,11-15
集中清算岗,平安证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
原油研究员,平安证券股份有限公司,深圳-福田区,1-1.8万/月,11-15
投资计划岗,平安证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
081155-账户经理岗,平安养老保险股份有限公司,北京-西城区,1-1.5万/月,11-15
011187-融资规划岗,"中国平安保险（集团）股份有限公司 Ping An Insurance (Group) Company Of China, Ltd.",深圳-福田区,20-30万/年,11-15
